Id,Author,Grade,Common Core,Description,Educational Use,In Language,"Intended End Use
   Role",Interactivity Type,Is Based On Url,Learning Resource Type,Location,puvlisher,Time Required,Title,Use Rights Url
8816,,7,7.G.1,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_measuringangles_003.pdf,,,geometry,
8856,,7,7.G.3,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_id_3d_pp_001.pdf,,,geometry,
8857,,7,7.G.3,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_id_3d_pp_002.pdf,,,geometry,
8858,,7,7.G.3,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_id_3d_pp_003.pdf,,,geometry,
8859,,7,7.G.3,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_id_3d_pp_004.pdf,,,geometry,
8860,,7,7.G.3,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_id_3d_pp_005.pdf,,,geometry,
8808,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_complementary_angles_001.pdf,,,geometry,
8809,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_complementary_angles_002.pdf,,,geometry,
8810,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_complementary_angles_003.pdf,,,geometry,
8811,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_corresponding_angles_001.pdf,,,geometry,
8812,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_corresponding_angles_002.pdf,,,geometry,
8813,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_corresponding_angles_003.pdf,,,geometry,
8840,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_supplementary_angles_001.pdf,,,geometry,
8841,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_supplementary_angles_002.pdf,,,geometry,
8842,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_supplementary_angles_003.pdf,,,geometry,
8843,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_vertical_angles_001.pdf,,,geometry,
8844,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_vertical_angles_002.pdf,,,geometry,
8845,,7,7.G.5,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_vertical_angles_003.pdf,,,geometry,
8819,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterarearectanglesmetric_001.pdf,,,geometry,
8820,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterarearectanglesmetric_002.pdf,,,geometry,
8821,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterarearectanglesmetric_003.pdf,,,geometry,
8822,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterarearectanglesmetric_004.pdf,,,geometry,
8823,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterarearectanglesmetric_005.pdf,,,geometry,
8824,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterareatrianglesmetric_001.pdf,,,geometry,
8825,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterareatrianglesmetric_002.pdf,,,geometry,
8826,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterareatrianglesmetric_003.pdf,,,geometry,
8827,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterareatrianglesmetric_004.pdf,,,geometry,
8828,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geo_perimeterareatrianglesmetric_005.pdf,,,geometry,
8846,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_parallelograms_001.pdf,,,geometry,
8847,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_parallelograms_002.pdf,,,geometry,
8848,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_parallelograms_003.pdf,,,geometry,
8849,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_parallelograms_004.pdf,,,geometry,
8850,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_parallelograms_005.pdf,,,geometry,
8851,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_trapezoids_001.pdf,,,geometry,
8852,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_trapezoids_002.pdf,,,geometry,
8853,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_trapezoids_003.pdf,,,geometry,
8854,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_trapezoids_004.pdf,,,geometry,
8855,,7,7.G.6,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_area_trapezoids_005.pdf,,,geometry,
8861,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_reflect_001.pdf,,,geometry,
8862,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_reflect_002.pdf,,,geometry,
8863,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_reflect_003.pdf,,,geometry,
8864,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_reflect_004.pdf,,,geometry,
8865,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_reflect_005.pdf,,,geometry,
8866,,8,8.G.2,,,,,,www.lessonoverflow.com,,https://s3.amazonaws.com/lessonOverFlow/geometry/geom_rotate_001.pdf,,,geometry,
